sensor_id,median_total_gain_db,median_correction_gain_db,max_abs_correction_gain_db,median_additive_noise_db,median_residual_std_db,low_information_fraction,gain_cap_fraction,noise_zero_fraction
Node1,-0.1538758803519129,-0.1538758803519129,7.440869802314368,-72.46812131343096,-70.0,0.8798828125,0.0,0.0
Node3,2.5878896969700884,2.5878896969700884,8.037476809226575,-69.74774129151842,-70.0,0.9033203125,0.0,0.0
Node4,-2.3227524624575597,-2.3227524624575597,9.887019621751511,-74.91583678319424,-70.0,0.9248046875,0.0,0.0
