sensor_id,reference_weight,embedding_norm,campaigns_seen,median_training_gain_db,median_training_additive_noise_db,median_training_residual_std_db
Node1,0.25,1.1626305554130207,2,-0.138274957923296,-37.5641362190337,-29.052352461193593
Node2,0.25,0.9295269021792231,2,0.38360196072421765,-36.83766649588627,-29.052356291767534
Node3,0.25,0.7802965854071996,2,0.445641912951216,-34.30232198793164,-29.052356584061492
Node5,0.25,0.520661814352343,1,0.03175065194563988,-30.467772869875162,-29.05234677802501
