sensor_id,reference_weight,embedding_norm,campaigns_seen,median_training_gain_db,median_training_additive_noise_db,median_training_residual_std_db
Node1,0.25,0.34500495128949155,11,-0.6990756610624609,-69.12438807231887,-38.817061702764825
Node2,0.25,0.520236403766907,17,-0.3739879143219066,-66.0980555455641,-38.8168604968295
Node3,0.25,0.7949419296527674,14,1.9322554285779936,-62.67148720314025,-38.81682788855374
Node5,0.25,0.9809029882336656,14,-0.8207051769273139,-61.145251388450426,-38.81677963215935
