node,row_idx,L_i_r_db,level_bin_idx,is_clean_row
Node10-Bogota,10,-18.81162812886636,6,True
Node10-Bogota,11,-20.387219068863445,3,True
Node10-Bogota,12,-19.136331027596736,6,True
Node10-Bogota,13,-20.290020513149162,4,True
Node10-Bogota,14,-21.640746352623005,0,True
Node10-Bogota,15,-20.676679468700094,1,False
Node10-Bogota,16,-19.972706796217693,5,True
Node10-Bogota,17,-20.45728618440571,3,True
Node10-Bogota,18,-18.741700267439672,6,True
Node10-Bogota,19,-19.612362093170514,6,True
Node10-Bogota,20,-20.324510326696604,4,True
Node10-Bogota,21,-20.18289754968464,5,True
Node10-Bogota,22,-20.61046727690904,1,True
Node10-Bogota,23,-20.468749534892257,2,True
Node10-Bogota,24,-20.060501820240756,5,True
Node10-Bogota,25,-19.99416302763948,5,True
Node10-Bogota,26,-19.285841769208794,6,True
Node10-Bogota,27,-20.205243141231513,4,True
Node10-Bogota,28,-20.269495319329685,4,True
Node10-Bogota,29,-17.507742359245892,6,True
Node10-Bogota,30,-20.390212023466955,3,False
Node10-Bogota,31,-20.1461715381593,5,True
Node10-Bogota,32,-22.117121236556947,0,True
Node10-Bogota,33,-21.77906892943804,0,True
Node10-Bogota,34,-20.596856264431374,2,True
Node10-Bogota,35,-20.41084408324167,3,True
Node10-Bogota,36,-20.802053094205313,1,True
Node10-Bogota,37,-20.79954631385059,1,True
Node10-Bogota,38,-19.417716707891646,6,True
Node10-Bogota,39,-21.127631111145348,0,True
Node10-Bogota,40,-22.061333438982707,0,True
Node10-Bogota,41,-20.5678666320103,2,True
Node10-Bogota,42,-20.484641964332145,2,True
Node10-Bogota,43,-20.469225145934224,2,True
Node10-Bogota,44,-19.939182881859878,6,True
Node10-Bogota,45,-19.822285549342187,6,True
Node10-Bogota,46,-20.69513070165118,1,True
Node10-Bogota,47,-20.64075134500456,1,True
Node10-Bogota,48,-20.24588548776164,4,True
Node10-Bogota,49,-20.330354097537835,3,True
Node10-Bogota,50,-20.403789836471283,3,True
Node10-Bogota,51,-19.690566898892556,6,True
Node10-Bogota,52,-20.19080318782076,4,True
Node10-Bogota,53,-20.60176646301325,1,True
Node10-Bogota,54,-20.144854946353504,5,True
Node10-Bogota,55,-20.333825482619766,3,True
Node10-Bogota,56,-20.042121602422277,5,True
Node10-Bogota,57,-20.273885263229502,4,True
Node10-Bogota,58,-20.12475837079593,5,True
Node10-Bogota,59,-20.651064425821197,1,True
Node10-Bogota,60,-20.312354961704777,4,True
Node10-Bogota,61,-19.350563634908255,6,True
Node10-Bogota,62,-19.725703390274102,6,True
Node10-Bogota,63,-21.125901026668192,0,True
Node10-Bogota,64,-20.348159594870047,3,True
Node10-Bogota,65,-20.519341647662728,2,True
Node10-Bogota,66,-20.54805986711071,2,True
Node10-Bogota,67,-20.291963884984064,4,True
Node10-Bogota,68,-20.14321932721779,5,True
Node10-Bogota,69,-20.914737146957318,1,True
Node10-Bogota,70,-20.24489772133481,4,True
Node10-Bogota,71,-20.505279912823728,2,True
Node10-Bogota,72,-22.25773400832102,0,True
Node10-Bogota,73,-21.171436144745467,0,False
Node10-Bogota,74,-21.273412075018108,0,True
Node10-Bogota,75,-20.41325807304835,3,True
Node10-Bogota,76,-20.786416711443476,1,True
Node10-Bogota,77,-20.32184848380519,4,True
Node10-Bogota,78,-20.02187865601862,5,True
Node10-Bogota,79,-19.994287050491696,5,True
Node10-Bogota,80,-20.273652126197874,4,True
Node10-Bogota,81,-20.450057370356905,3,True
Node10-Bogota,82,-20.133598923239585,5,True
Node10-Bogota,83,-20.546275979568193,2,True
Node10-Bogota,84,-20.215751025869217,4,True
Node10-Bogota,85,-20.76847805675255,1,True
Node10-Bogota,86,-20.6118237444241,1,True
Node10-Bogota,87,-20.971746438110277,0,True
Node10-Bogota,88,-20.433963911646146,3,True
Node10-Bogota,89,-20.54471229973167,2,True
Node10-Bogota,90,-20.459133617478678,3,True
Node10-Bogota,91,-21.5209953236401,0,True
Node10-Bogota,92,-20.82598620795801,1,True
Node10-Bogota,93,-20.522496802333485,2,True
Node10-Bogota,94,-20.146432503369702,5,True
Node10-Bogota,95,-20.46907901532106,2,True
Node10-Bogota,96,-20.748401852359272,1,True
Node10-Bogota,97,-20.81956418599323,1,True
Node10-Bogota,98,-21.426234655849147,0,True
Node10-Bogota,99,-20.42785975307576,3,True
Node10-Bogota,100,-21.02513718265283,0,True
Node10-Bogota,101,-20.27118388801513,4,True
Node10-Bogota,102,-20.567915775444263,2,True
Node10-Bogota,103,-20.166809066455098,5,True
Node2-Bogota,0,-20.737928941541302,3,True
Node2-Bogota,1,-22.264535865996436,0,True
Node2-Bogota,2,-20.631742352337305,3,True
Node2-Bogota,3,-19.902531424453855,6,True
Node2-Bogota,4,-17.78686843013616,6,True
Node2-Bogota,5,-20.76339469133154,2,True
Node2-Bogota,6,-20.542866951526847,4,True
Node2-Bogota,7,-20.80430819638933,2,True
Node2-Bogota,8,-19.982292664918095,5,False
Node2-Bogota,9,-20.95466707201277,1,True
Node2-Bogota,10,-20.752948183121013,3,True
Node2-Bogota,11,-18.475757866133172,6,True
Node2-Bogota,12,-17.619244799809017,6,False
Node2-Bogota,13,-20.84408139360032,2,True
Node2-Bogota,14,-21.168653948684,0,True
Node2-Bogota,15,-21.302440965415673,0,True
Node2-Bogota,16,-20.9792766998902,1,True
Node2-Bogota,17,-20.207414576298312,5,True
Node2-Bogota,18,-20.74613370671488,3,True
Node2-Bogota,19,-17.741150834773944,6,True
Node2-Bogota,20,-20.427870990093936,4,True
Node2-Bogota,21,-20.265859581068078,5,True
Node2-Bogota,22,-21.534909130341582,0,True
Node2-Bogota,23,-21.817657232238986,0,True
Node2-Bogota,24,-21.05208791120358,1,True
Node2-Bogota,25,-20.170900792873418,5,True
Node2-Bogota,26,-20.5382977043753,4,True
Node2-Bogota,27,-20.343362447756064,4,True
Node2-Bogota,28,-19.017405317349393,6,True
Node2-Bogota,29,-20.872451312520916,2,True
Node2-Bogota,30,-15.144467255987925,6,False
