node,row_idx,A_i_r_db,is_clean_row
Node10-Bogota,22,0.39663079265011303,True
Node10-Bogota,23,0.0659759182637777,True
Node10-Bogota,24,-0.49420166852977576,True
Node10-Bogota,25,-0.4091920864763495,True
Node10-Bogota,26,-0.5766017356874716,True
Node10-Bogota,27,0.042226499652175786,True
Node10-Bogota,28,0.46887067853824305,True
Node10-Bogota,29,-0.7310288107887806,True
Node10-Bogota,30,,False
Node10-Bogota,31,-0.1780333130006287,True
Node10-Bogota,32,0.6351671907535967,True
Node10-Bogota,33,-0.2747885815982378,True
Node10-Bogota,34,-0.3936043612060037,True
Node10-Bogota,35,-0.45132834388196214,True
Node10-Bogota,36,0.4366768110108361,True
Node10-Bogota,37,0.01107447033485598,True
Node10-Bogota,38,-0.28038659870972793,True
Node10-Bogota,39,0.8368212881899098,True
Node10-Bogota,40,0.7471022417817081,True
Node10-Bogota,41,-0.30624190856000627,True
Node10-Bogota,42,0.20513202387288565,True
Node10-Bogota,43,-0.21361318863374013,True
Node10-Bogota,44,-0.8452707008099379,True
Node10-Bogota,45,0.3700566666142825,True
Node10-Bogota,46,-0.09076487373057504,True
Node10-Bogota,47,-0.01698873276096524,True
Node10-Bogota,48,-0.2109778658746356,True
Node10-Bogota,49,-0.5662705837137686,True
Node10-Bogota,50,0.40834571712721,True
Node10-Bogota,51,-0.7137906363664719,True
Node10-Bogota,52,0.24889647114113622,True
Node10-Bogota,53,0.09082128027272582,True
Node10-Bogota,54,-0.7344969804423573,True
Node10-Bogota,55,0.09558068823978333,True
Node10-Bogota,56,-0.05634064680417045,True
Node10-Bogota,57,0.13124306432773644,True
Node10-Bogota,58,-0.18059603644595523,True
Node10-Bogota,59,0.30107400384003974,True
Node10-Bogota,60,0.44409803795925873,True
Node10-Bogota,61,-0.4819316737282357,True
Node10-Bogota,62,0.2849167471774527,True
Node10-Bogota,63,0.29621661264926,True
Node10-Bogota,64,-0.36280709971492053,True
Node10-Bogota,65,0.11593732406966875,True
Node10-Bogota,66,0.27288486898108355,True
Node10-Bogota,67,-1.0864419458934393,True
Node10-Bogota,68,0.08374029218666001,True
Node10-Bogota,69,0.7021706042296065,True
Node10-Bogota,70,-0.1695830378492971,True
Node10-Bogota,71,-0.21256807841917627,True
Node10-Bogota,72,0.5479191331356144,True
Node10-Bogota,73,,False
Node10-Bogota,74,0.41416250799684934,True
Node10-Bogota,75,-0.9989616666778316,True
Node10-Bogota,76,0.14328607482359684,True
Node10-Bogota,77,-0.21951286775034212,True
Node10-Bogota,78,-0.5197556820575052,True
Node10-Bogota,79,-0.14362156493141098,True
Node10-Bogota,80,-0.016208199529048173,True
Node10-Bogota,81,-0.7354158499357024,True
Node10-Bogota,82,-0.1034335396544766,True
Node10-Bogota,83,-0.09717255889758042,True
Node10-Bogota,84,-0.08310241534902163,True
Node10-Bogota,85,0.11262931317267899,True
