node,row_idx,L_ir_db,F_ir_db,S_ir_db,R_ir_db,is_clean,floor_max_db,spread_min_db,spread_max_db,mismatch_max_db
Node1-Bogota,0,-20.66532802581787,-23.71243953704834,9.734264850616455,1.1943531036376953,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,1,-21.737860679626465,-28.927464485168457,14.179951190948486,0.5453271865844727,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,2,-20.105286598205566,-23.052003860473633,9.690577030181885,0.6824874877929688,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,3,-18.658864974975586,-22.735766410827637,11.334194660186768,1.2266559600830078,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,4,-18.23697566986084,-22.254355430603027,13.199684619903564,0.5559272766113281,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,5,-20.16659927368164,-22.85817813873291,8.216216564178467,0.41521263122558594,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,6,-20.141711235046387,-23.08724880218506,10.270488739013672,0.4173727035522461,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,7,-20.605077743530273,-22.89881134033203,10.162588596343994,0.6399366855621338,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,8,-20.159332275390625,-22.51712417602539,7.491566181182861,0.46654319763183594,False,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,9,-20.37473487854004,-23.156963348388672,8.570635318756104,0.5113058090209961,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,10,-21.55855083465576,-25.06531047821045,10.067285060882568,0.7055168151855469,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,11,-17.46266460418701,-22.212047576904297,13.668910503387451,1.1214628219604492,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,12,-18.942298889160156,-22.435747146606445,12.20820140838623,1.1444625854492188,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,13,-20.195411682128906,-22.686680793762207,11.258833408355713,0.5921444892883301,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,14,-19.980624198913574,-22.77564239501953,11.738891124725342,0.8517189025878906,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,15,-20.747600555419922,-23.446565628051758,11.55107307434082,0.6846375465393066,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,16,-20.663555145263672,-23.238375663757324,8.801612854003906,0.46854305267333984,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,17,-19.764151573181152,-22.83966636657715,11.268610000610352,0.446563720703125,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,18,-20.084506034851074,-23.134075164794922,12.709474086761475,0.512181282043457,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,19,-17.99094581604004,-22.28501319885254,13.064109325408936,0.9558982849121094,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,20,-19.602352142333984,-22.714603424072266,12.3279390335083,0.8487663269042969,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,21,-19.661102294921875,-22.726545333862305,11.825116634368896,1.1365747451782227,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,22,-21.078986167907715,-23.236891746520996,10.745250701904297,0.7932987213134766,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,23,-21.190451622009277,-23.928531646728516,12.437095165252686,0.8700647354125977,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,24,-20.71186923980713,-23.16237449645996,11.489805698394775,0.9725842475891113,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,25,-20.324837684631348,-23.096030235290527,10.183660507202148,0.5966129302978516,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,26,-19.520998001098633,-22.907207489013672,12.632506370544434,1.002711296081543,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,27,-18.927732467651367,-22.652862548828125,12.620713233947754,1.0844745635986328,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,28,-19.696260452270508,-22.56059169769287,12.237439632415771,0.837092399597168,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,29,-20.68975257873535,-23.143837928771973,10.765020847320557,0.8529062271118164,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,30,-16.83940887451172,-22.354594230651855,12.952592372894287,0.641533374786377,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,31,-19.586015701293945,-22.909863471984863,12.243721008300781,0.8627090454101562,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,32,-19.43614673614502,-22.771594047546387,10.794244766235352,0.626434326171875,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,33,-21.840115547180176,-26.297861099243164,11.665529727935791,0.6579389572143555,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,34,-21.617124557495117,-24.530810356140137,9.631384372711182,0.7478952407836914,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,35,-20.307044982910156,-22.981220245361328,10.46271276473999,1.1459617614746094,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
Node1-Bogota,36,-20.353453636169434,-22.899425506591797,8.111602306365967,0.46692943572998047,True,-21.599558514881135,7.797143266677857,15.03433675956726,1.8908489303588867
