node,row_idx,is_train,is_test,is_clean,L_i_r_db,state_idx,A_hat_r_db
Node1-Bogota,0,True,False,True,-20.66532802581787,1,0.08338561538578004
Node1-Bogota,1,True,False,True,-21.737860679626465,0,0.29531949250273
Node1-Bogota,2,True,False,True,-20.105286598205566,3,0.03292154387910238
Node1-Bogota,3,True,False,True,-18.658864974975586,5,-0.372263002765271
Node1-Bogota,4,True,False,True,-18.23697566986084,5,-0.372263002765271
Node1-Bogota,5,True,False,True,-20.16659927368164,3,0.03292154387910238
Node1-Bogota,6,True,False,True,-20.141711235046387,3,0.03292154387910238
Node1-Bogota,7,True,False,True,-20.605077743530273,1,0.08338561538578004
Node1-Bogota,8,True,False,False,-20.159332275390625,3,0.03292154387910238
Node1-Bogota,9,True,False,True,-20.37473487854004,1,0.08338561538578004
Node1-Bogota,10,True,False,True,-21.55855083465576,0,0.29531949250273
Node1-Bogota,11,True,False,True,-17.46266460418701,5,-0.372263002765271
Node1-Bogota,12,True,False,True,-18.942298889160156,5,-0.372263002765271
Node1-Bogota,13,True,False,True,-20.195411682128906,2,0.06415396697761477
Node1-Bogota,14,True,False,True,-19.980624198913574,3,0.03292154387910238
Node1-Bogota,15,True,False,True,-20.747600555419922,1,0.08338561538578004
Node1-Bogota,16,True,False,True,-20.663555145263672,1,0.08338561538578004
Node1-Bogota,17,True,False,True,-19.764151573181152,4,-0.06021174719167312
Node1-Bogota,18,True,False,True,-20.084506034851074,3,0.03292154387910238
Node1-Bogota,19,True,False,True,-17.99094581604004,5,-0.372263002765271
Node1-Bogota,20,True,False,True,-19.602352142333984,4,-0.06021174719167312
Node1-Bogota,21,True,False,True,-19.661102294921875,4,-0.06021174719167312
Node1-Bogota,22,True,False,True,-21.078986167907715,0,0.29531949250273
Node1-Bogota,23,True,False,True,-21.190451622009277,0,0.29531949250273
Node1-Bogota,24,True,False,True,-20.71186923980713,1,0.08338561538578004
Node1-Bogota,25,True,False,True,-20.324837684631348,2,0.06415396697761477
Node1-Bogota,26,True,False,True,-19.520998001098633,4,-0.06021174719167312
Node1-Bogota,27,True,False,True,-18.927732467651367,5,-0.372263002765271
Node1-Bogota,28,True,False,True,-19.696260452270508,4,-0.06021174719167312
Node1-Bogota,29,True,False,True,-20.68975257873535,1,0.08338561538578004
Node1-Bogota,30,True,False,True,-16.83940887451172,5,-0.372263002765271
Node1-Bogota,31,True,False,True,-19.586015701293945,4,-0.06021174719167312
