sensor_id,reference_weight,embedding_norm,campaigns_seen,median_training_gain_db,median_training_additive_noise_db,median_training_residual_std_db
Node1,0.16666666666666666,0.2349446762119291,2,-0.8107163175043575,-31.499866132536912,-29.29666655741888
Node10,0.16666666666666666,2.6777617343789597,1,2.811684164018004,-36.04949515868874,-19.15292876698671
Node2,0.16666666666666666,0.4315320909982567,2,-0.14593109315451003,-31.354623920822338,-29.29666298144941
Node3,0.16666666666666666,1.2039778831348567,2,-0.6835492406752387,-28.003270993278804,-29.29666931369033
Node5,0.16666666666666666,0.4863790153461954,1,-1.4034440929861467,-26.87449722365433,-29.29665088188993
Node9,0.16666666666666666,1.575114500838407,1,-1.747236275705056,-24.274922230545755,-29.296623698588192
