sensor_id,reference_weight,embedding_norm,campaigns_seen,median_training_gain_db,median_training_additive_noise_db,median_training_residual_std_db
Node1,0.25,0.4764617569009076,14,-1.2440380930933,-68.02900012871586,-38.95635274282148
Node2,0.25,1.3800611185808145,20,-0.08864152536277309,-65.4710942535958,-38.956270942547185
Node3,0.25,1.2536912401207165,16,2.234992681012952,-62.38023074374625,-38.956259090701685
Node5,0.25,0.8705997166618566,14,-0.5638994255532765,-61.54063809575437,-38.95612570400993
