sensor_id,median_total_gain_db,median_correction_gain_db,max_abs_correction_gain_db,median_additive_noise_db,median_residual_std_db,low_information_fraction,gain_cap_fraction,noise_zero_fraction
Node1,-0.8614988004747544,-0.8614988004747544,11.712032081487344,-73.15328973732983,-70.0,0.87939453125,0.0,0.0
Node3,1.6628299748627975,1.6628299748627975,8.988140717047724,-70.28835016421024,-70.0,0.880615234375,0.0,0.0
Node4,-3.2495631957078546,-3.2495631957078546,12.000000000000002,-75.20965002009177,-70.0,0.8798828125,0.010009765625,0.0
Node5,2.346483347076809,2.346483347076809,12.000000000000002,-68.93216995138418,-70.0,0.889892578125,0.005615234375,0.0
