sensor_id,median_total_gain_db,median_correction_gain_db,max_abs_correction_gain_db,median_additive_noise_db,median_residual_std_db,low_information_fraction,gain_cap_fraction,noise_zero_fraction
Node1-Bogota,-0.2996512073526721,2.7927102547254505,10.849096659434846,-31.602035344713453,-33.82669353158171,0.433563232421875,0.0,0.0
Node10-Bogota,-0.10438181717795245,-2.6810287787867777,9.124556328197672,-31.83905101276505,-35.18335420511629,0.338104248046875,0.0,0.0
Node2-Bogota,0.12570869006844693,-4.624695804054161,9.841791429328895,-31.078773430788715,-33.95327743098004,0.410064697265625,0.0,0.0
Node4-Bogota,-0.32919808816233315,6.530498259886882,10.70782125023948,-31.034575633116738,-34.21068763536073,0.414215087890625,0.0,0.0
Node5-Bogota,0.36067881697440995,1.9257924798487371,7.726975288627383,-30.71439638060449,-33.78375123162965,0.416168212890625,0.0,0.0
Node7-Bogota,0.14994747434953665,-4.022850289349752,11.916763585234502,-30.892141056222872,-34.41239447094141,0.34881591796875,0.000213623046875,0.0
